,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry,Day Change,Weighted Sector Change
0,2011-04-18,29.096197910602243,29.132557629934247,28.85077674001858,28.887136459350582,31800,0.0,0,HURC,Capital Goods,Industrial Machinery/Components,-0.007185181098025222,-0.010570542159724588
1,2011-04-19,28.887127808064783,29.041653101493974,27.905438218551744,28.61443519592285,36100,0.0,0,HURC,Capital Goods,Industrial Machinery/Components,-0.009439935114137587,0.024380927979059754
2,2011-04-20,29.078012928426983,29.078012928426983,28.6962446340914,28.90530776977539,19800,0.0,0,HURC,Capital Goods,Industrial Machinery/Components,-0.005939372785777722,-0.0036885546099280557
3,2011-04-21,29.059835976155448,29.81428271250693,28.596260020027195,29.61431121826172,35800,0.0,0,HURC,Capital Goods,Industrial Machinery/Components,0.01908046702538983,-0.02240364310481664
4,2011-04-25,29.6143093311846,29.723384999954508,29.21435943327327,29.287078857421875,16700,0.0,0,HURC,Capital Goods,Industrial Machinery/Components,-0.011049741869824511,-0.0011961798298959717
5,2011-04-26,29.341623282021597,29.614317732486697,29.18709966304841,29.523418426513672,24200,0.0,0,HURC,Capital Goods,Industrial Machinery/Components,0.006195810734284263,0.0031590049159445485
6,2011-04-27,29.60521955593731,29.61431121826172,29.459784165825692,29.61431121826172,13000,0.0,0,HURC,Capital Goods,Industrial Machinery/Components,0.0003070966019093434,0.0021474620290608997
7,2011-04-28,29.677930815084444,29.83245435753056,29.55067184974661,29.823366165161133,11000,0.0,0,HURC,Capital Goods,Industrial Machinery/Components,0.004900454515608207,-0.015034480622555815
8,2011-04-29,29.732480701741924,29.76884042299711,29.47796958786337,29.541597366333008,5700,0.0,0,HURC,Capital Goods,Industrial Machinery/Components,-0.006420027219515959,-0.0013712932713190313
9,2011-05-02,29.587037690101628,29.6143092077702,29.396154403686523,29.396154403686523,11000,0.0,0,HURC,Capital Goods,Industrial Machinery/Components,-0.006451584927644332,-0.019711844732353254
10,2011-05-03,29.31434757502719,29.61431000528866,29.31434757502719,29.48705101013184,13000,0.0,0,HURC,Capital Goods,Industrial Machinery/Components,0.005891430285549893,-0.00143334881630545
11,2011-05-04,29.44160888468786,29.44160888468786,26.360193693884945,26.62379646301269,74000,0.0,0,HURC,Capital Goods,Industrial Machinery/Components,-0.09570850671617576,-0.0053195461566493945
12,2011-05-05,26.369278226067163,27.178262760417653,25.99659984055335,26.7783145904541,21100,0.0,0,HURC,Capital Goods,Industrial Machinery/Components,0.015511852879711694,0.0063904826455142595
13,2011-05-06,26.98738380819653,27.26916469122905,26.814678613041902,26.96920394897461,11000,0.0,0,HURC,Capital Goods,Industrial Machinery/Components,-0.0006736428899936084,-0.011422475956310345
14,2011-05-09,27.05101115545744,27.132818786940085,26.62379487283554,26.99647331237793,9200,0.0,0,HURC,Capital Goods,Industrial Machinery/Components,-0.002016111071267996,0.005977587051981206
15,2011-05-10,27.005560525496463,29.51432548804491,26.860125126758398,29.178003311157227,44900,0.0,0,HURC,Capital Goods,Industrial Machinery/Components,0.08044427678550567,0.015713967314456793
16,2011-05-11,29.187094250897506,29.187094250897506,27.369150077985328,28.94167137145996,21700,0.0,0,HURC,Capital Goods,Industrial Machinery/Components,-0.008408609549407194,-0.019583991360700374
17,2011-05-12,28.896224475082587,28.914402599817617,27.94180271056097,28.52354431152344,20100,0.0,0,HURC,Capital Goods,Industrial Machinery/Components,-0.012897192291695767,0.010398748087071068
18,2011-05-13,28.45991969400121,28.67807281853357,27.77819052969002,27.92362594604492,22000,0.0,0,HURC,Capital Goods,Industrial Machinery/Components,-0.018843825060733857,-0.011238810896747149
19,2011-05-16,27.83272473674414,27.83272473674414,26.841945070562154,27.051008224487305,10700,0.0,0,HURC,Capital Goods,Industrial Machinery/Components,-0.02808623732137985,-0.003954462903994673
20,2011-05-17,26.732868811836056,26.81467643797207,26.014781768085854,26.45108795166016,15500,0.0,0,HURC,Capital Goods,Industrial Machinery/Components,-0.010540614333585361,-0.009712276416007231
21,2011-05-18,26.41473105412112,27.56003620848119,26.41473105412112,27.387331008911133,26200,0.0,0,HURC,Capital Goods,Industrial Machinery/Components,0.03682036181997287,0.009616634602533423
22,2011-05-19,27.396422128326677,27.94180580652101,27.396422128326677,27.92362594604492,23300,0.0,0,HURC,Capital Goods,Industrial Machinery/Components,0.019243528050808374,-0.002415544927673802
23,2011-05-20,27.92362242870496,27.92362242870496,27.332790907470145,27.450958251953125,7000,0.0,0,HURC,Capital Goods,Industrial Machinery/Components,-0.016927036524671833,0.004991046559641222
24,2011-05-23,27.26916030819026,27.26916030819026,26.487443824562984,26.7783145904541,8900,0.0,0,HURC,Capital Goods,Industrial Machinery/Components,-0.018000030517578206,-0.010951206095883825
25,2011-05-24,26.79650183303236,27.051014690205136,25.633018448761387,25.70573616027832,31000,0.0,0,HURC,Capital Goods,Industrial Machinery/Components,-0.0407055249058457,-0.013617028651492478
26,2011-05-25,25.73299892579256,25.896614176485272,25.414858353193026,25.86025619506836,10900,0.0,0,HURC,Capital Goods,Industrial Machinery/Components,0.004945294935999335,0.016787733828414617
27,2011-05-26,25.769353753576063,26.360185142789888,25.769353753576063,26.278377532958984,6000,0.0,0,HURC,Capital Goods,Industrial Machinery/Components,0.019753067315950192,0.024535712510394592
28,2011-05-27,26.48744426293211,26.941930275590398,25.951150629297217,26.93284034729004,11000,0.0,0,HURC,Capital Goods,Industrial Machinery/Components,0.0168153665539275,0.022083775653116765
