Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry,Day Change,Weighted Sector Change,Weighted Industry Change
2011-04-18,48.44290590369464,48.75134583041414,47.015261026967885,47.52639389038086,34600,0.0,0,VRTS,Finance,Investment Managers,-0.0189194268224912,0.0003951456286679929,-0.017371590681267993
2011-04-19,47.6762198528096,48.42529373709964,46.70683407519189,46.75089645385742,71700,0.0,0,VRTS,Finance,Investment Managers,-0.019408489217662885,-0.004207775260207972,-0.005246823551535929
2011-04-20,47.834839008971294,47.958214993050014,46.83901664505398,47.4735221862793,43100,0.0,0,VRTS,Finance,Investment Managers,-0.007553424035235757,-0.006151475142904113,-0.00860904899634322
2011-04-21,47.90534713459946,48.31072637624473,47.094585289565096,47.68503189086914,9500,0.0,0,VRTS,Finance,Investment Managers,-0.0045989697791208985,0.001280843155149641,-0.010336865927005194
2011-04-25,47.47352514693378,47.80840524013447,46.02825776603267,46.44245147705078,36900,0.0,0,VRTS,Finance,Investment Managers,-0.021718919475470947,-0.0008228016537360986,-0.001542784085099069
2011-04-26,45.7462509125407,48.601537565899925,45.69337405093916,47.993465423583984,41200,0.0,0,VRTS,Finance,Investment Managers,0.049123468398308445,0.0007245957283275509,0.0015033343569746617
2011-04-27,48.0816039676007,48.16091759635498,47.57047094635216,47.85247421264648,16700,0.0,0,VRTS,Finance,Investment Managers,-0.004765434928265266,0.005474707119576165,0.0038947402234044168
2011-04-28,47.64096849939517,47.93178286681607,47.1298355311944,47.2796516418457,6400,0.0,0,VRTS,Finance,Investment Managers,-0.007584162726541871,0.01028739488907866,-8.893118624025131e-05
2011-04-29,47.40302197979625,47.693836312505525,45.78150187956561,46.53938674926758,32000,0.0,0,VRTS,Finance,Investment Managers,-0.018218990993797063,-0.0007878968502866136,-0.007285612355876834
2011-05-02,46.327893114924834,46.36314436373228,43.877988472456906,45.147003173828125,49600,0.0,0,VRTS,Finance,Investment Managers,-0.02548982614355664,-0.012701299699253488,0.004008005838745777
2011-05-03,45.420193831223365,48.41647928571317,45.1029393257699,46.48651885986328,44600,0.0,0,VRTS,Finance,Investment Managers,0.023476892956517694,0.005826323398700173,0.014385525430077747
2011-05-04,46.49532361915178,48.03753019462673,46.42482449523671,47.55283737182617,34000,0.0,0,VRTS,Finance,Investment Managers,0.022744518595818327,-0.011854879921838642,-0.011800730069346625
2011-05-05,47.552845528217794,49.3506188799488,47.552845528217794,49.17436599731445,29200,0.0,0,VRTS,Finance,Investment Managers,0.03409933624549241,-0.0002769297984471659,0.005389564610854754
2011-05-06,49.79123972791072,51.09550542710872,49.75598848588668,50.40812301635742,21000,0.0,0,VRTS,Finance,Investment Managers,0.012389394034326562,-0.012070399516929354,-0.009855465690362003
2011-05-09,50.40813051510597,52.54959504135144,50.13493839139468,52.45265579223633,40300,0.0,0,VRTS,Finance,Investment Managers,0.040559434683213894,0.002997482002256194,0.009999784798066133
2011-05-10,52.62889733950455,54.10941578866997,52.42620775395423,53.47490692138672,27000,0.0,0,VRTS,Finance,Investment Managers,0.016075001085898405,0.008790603225816523,0.006309566986665876
2011-05-11,52.44383901377631,54.285674581454806,51.1924500459988,51.280574798583984,24900,0.0,0,VRTS,Finance,Investment Managers,-0.022181141523349452,-0.006791796506290203,-0.01538175642433054
2011-05-12,50.99857368311375,51.85339793816454,50.82232080884893,51.5273323059082,8000,0.0,0,VRTS,Finance,Investment Managers,0.010368106098024743,0.007204057172090629,-0.019877589773416318
2011-05-13,51.65070477194708,51.65070477194708,49.949870871003625,50.575565338134766,22700,0.0,0,VRTS,Finance,Investment Managers,-0.02081558109534752,-0.01468515039998474,-0.020387288852392386
2011-05-16,50.27592990057574,50.48743397987429,48.80422592163086,48.80422592163086,39000,0.0,0,VRTS,Finance,Investment Managers,-0.029272536218728936,0.001062612552430739,-0.031925762025852865
2011-05-17,48.57510728896246,49.544496444130736,48.39004327850323,48.50460815429688,28900,0.0,0,VRTS,Finance,Investment Managers,-0.0014513428502831906,0.0027326694704553228,-0.037025802952445945
2011-05-18,48.63679928703194,49.35062199395822,48.42529850392037,49.3329963684082,15600,0.0,0,VRTS,Finance,Investment Managers,0.014314204297606593,0.011686172975664209,0.02738631208903437
2011-05-19,49.676682995680906,49.676682995680906,46.46889340529016,49.324180603027344,42100,0.0,0,VRTS,Finance,Investment Managers,-0.007095932566274814,-0.0021037724768597703,0.001299319733091527
2011-05-20,48.92761246831711,49.3418062254604,48.46935633231143,48.83067321777344,15300,0.0,0,VRTS,Finance,Investment Managers,-0.00198127898855565,-0.008070909210666711,0.004861563710420577
2011-05-23,47.896536592677954,48.87473689339946,46.90071402933915,47.85247421264648,36000,0.0,0,VRTS,Finance,Investment Managers,-0.0009199491897752934,-0.0019028292810484146,0.009679240678816913
2011-05-24,48.21378034903989,48.372407571151626,46.5041355084109,46.53938674926758,30000,0.0,0,VRTS,Finance,Investment Managers,-0.03472852756308813,-0.005782028850130464,-0.00984703242513505
2011-05-25,46.7068308514993,47.24440057465028,46.15163550574982,46.9183349609375,13400,0.0,0,VRTS,Finance,Investment Managers,0.004528333555977346,0.0018323887019383298,-0.012277964662053092
2011-05-26,46.151638377148686,47.59690590270744,45.622883113271484,47.43828201293945,34400,0.0,0,VRTS,Finance,Investment Managers,0.02787861235339871,0.010169030159035058,0.025052527253504684
2011-05-27,47.764349820342446,48.028727464310926,47.58809693711542,47.887725830078125,15500,0.0,0,VRTS,Finance,Investment Managers,0.002583014532799826,0.005605743524595532,0.019205169674838853
2011-05-31,48.6103453740137,49.25366535169939,47.72908457799333,48.786598205566406,37000,0.0,0,VRTS,Finance,Investment Managers,0.003625829649976754,0.0013826486053295222,-0.0011275680928437139
2011-06-01,48.90998944232864,48.9276150671586,47.71147384784476,47.861289978027344,37500,0.0,0,VRTS,Finance,Investment Managers,-0.0214414166974591,-0.017388468089907277,0.00220604018316473
